clip,level,path,snr_db_target,snr_db_achieved,clipped_samples,samples,source_rate
tts_driver_door_locked,highway,../evidence/asr/corpus/highway/tts_driver_door_locked.wav,5.0,5.0,0,31427,22050
tts_driver_door_unlocked,clean,../evidence/asr/corpus/clean/tts_driver_door_unlocked.wav,,,0,34307,22050
tts_driver_door_unlocked,quiet,../evidence/asr/corpus/quiet/tts_driver_door_unlocked.wav,20.0,20.0,0,34307,22050
tts_driver_door_unlocked,cabin,../evidence/asr/corpus/cabin/tts_driver_door_unlocked.wav,10.0,10.0,0,34307,22050
tts_driver_door_unlocked,highway,../evidence/asr/corpus/highway/tts_driver_door_unlocked.wav,5.0,5.0,1,34307,22050
tts_fan_0,clean,../evidence/asr/corpus/clean/tts_fan_0.wav,,,0,28547,22050
tts_fan_0,quiet,../evidence/asr/corpus/quiet/tts_fan_0.wav,20.0,20.0,0,28547,22050
tts_fan_0,cabin,../evidence/asr/corpus/cabin/tts_fan_0.wav,10.0,10.0,0,28547,22050
tts_fan_0,highway,../evidence/asr/corpus/highway/tts_fan_0.wav,5.0,5.0,0,28547,22050
tts_fan_1,clean,../evidence/asr/corpus/clean/tts_fan_1.wav,,,0,26546,22050
tts_fan_1,quiet,../evidence/asr/corpus/quiet/tts_fan_1.wav,20.0,20.0,0,26546,22050
tts_fan_1,cabin,../evidence/asr/corpus/cabin/tts_fan_1.wav,10.0,10.0,0,26546,22050
tts_fan_1,highway,../evidence/asr/corpus/highway/tts_fan_1.wav,5.0,5.0,0,26546,22050
tts_fan_2,clean,../evidence/asr/corpus/clean/tts_fan_2.wav,,,0,28067,22050
tts_fan_2,quiet,../evidence/asr/corpus/quiet/tts_fan_2.wav,20.0,20.0,0,28067,22050
tts_fan_2,cabin,../evidence/asr/corpus/cabin/tts_fan_2.wav,10.0,10.0,0,28067,22050
tts_fan_2,highway,../evidence/asr/corpus/highway/tts_fan_2.wav,5.0,5.0,0,28067,22050
tts_fan_3,clean,../evidence/asr/corpus/clean/tts_fan_3.wav,,,0,28067,22050
tts_fan_3,quiet,../evidence/asr/corpus/quiet/tts_fan_3.wav,20.0,20.0,0,28067,22050
tts_fan_3,cabin,../evidence/asr/corpus/cabin/tts_fan_3.wav,10.0,10.0,0,28067,22050
tts_fan_3,highway,../evidence/asr/corpus/highway/tts_fan_3.wav,5.0,5.0,0,28067,22050
tts_fan_4,clean,../evidence/asr/corpus/clean/tts_fan_4.wav,,,0,28786,22050
tts_fan_4,quiet,../evidence/asr/corpus/quiet/tts_fan_4.wav,20.0,20.0,0,28786,22050
tts_fan_4,cabin,../evidence/asr/corpus/cabin/tts_fan_4.wav,10.0,10.0,0,28786,22050
tts_fan_4,highway,../evidence/asr/corpus/highway/tts_fan_4.wav,5.0,5.0,0,28786,22050
tts_fan_5,clean,../evidence/asr/corpus/clean/tts_fan_5.wav,,,0,28307,22050
tts_fan_5,quiet,../evidence/asr/corpus/quiet/tts_fan_5.wav,20.0,20.0,0,28307,22050
tts_fan_5,cabin,../evidence/asr/corpus/cabin/tts_fan_5.wav,10.0,10.0,0,28307,22050
tts_fan_5,highway,../evidence/asr/corpus/highway/tts_fan_5.wav,5.0,5.0,0,28307,22050
tts_media_next,clean,../evidence/asr/corpus/clean/tts_media_next.wav,,,0,24468,22050
tts_media_next,quiet,../evidence/asr/corpus/quiet/tts_media_next.wav,20.0,20.0,0,24468,22050
tts_media_next,cabin,../evidence/asr/corpus/cabin/tts_media_next.wav,10.0,10.0,0,24468,22050
tts_media_next,highway,../evidence/asr/corpus/highway/tts_media_next.wav,5.0,5.0,0,24468,22050
tts_temp_16,clean,../evidence/asr/corpus/clean/tts_temp_16.wav,,,0,46304,22050
tts_temp_16,quiet,../evidence/asr/corpus/quiet/tts_temp_16.wav,20.0,20.0,0,46304,22050
tts_temp_16,cabin,../evidence/asr/corpus/cabin/tts_temp_16.wav,10.0,10.0,0,46304,22050
tts_temp_16,highway,../evidence/asr/corpus/highway/tts_temp_16.wav,5.0,5.0,0,46304,22050
tts_temp_17,clean,../evidence/asr/corpus/clean/tts_temp_17.wav,,,0,44144,22050
tts_temp_17,quiet,../evidence/asr/corpus/quiet/tts_temp_17.wav,20.0,20.0,0,44144,22050
tts_temp_17,cabin,../evidence/asr/corpus/cabin/tts_temp_17.wav,10.0,10.0,0,44144,22050
tts_temp_17,highway,../evidence/asr/corpus/highway/tts_temp_17.wav,5.0,5.0,0,44144,22050
tts_temp_18,clean,../evidence/asr/corpus/clean/tts_temp_18.wav,,,0,45344,22050
tts_temp_18,quiet,../evidence/asr/corpus/quiet/tts_temp_18.wav,20.0,20.0,0,45344,22050
tts_temp_18,cabin,../evidence/asr/corpus/cabin/tts_temp_18.wav,10.0,10.0,0,45344,22050
tts_temp_18,highway,../evidence/asr/corpus/highway/tts_temp_18.wav,5.0,5.0,0,45344,22050
tts_temp_19,clean,../evidence/asr/corpus/clean/tts_temp_19.wav,,,0,45505,22050
tts_temp_19,quiet,../evidence/asr/corpus/quiet/tts_temp_19.wav,20.0,20.0,0,45505,22050
tts_temp_19,cabin,../evidence/asr/corpus/cabin/tts_temp_19.wav,10.0,10.0,0,45505,22050
tts_temp_19,highway,../evidence/asr/corpus/highway/tts_temp_19.wav,5.0,5.0,0,45505,22050
tts_temp_20,clean,../evidence/asr/corpus/clean/tts_temp_20.wav,,,0,45185,22050
tts_temp_20,quiet,../evidence/asr/corpus/quiet/tts_temp_20.wav,20.0,20.0,0,45185,22050
tts_temp_20,cabin,../evidence/asr/corpus/cabin/tts_temp_20.wav,10.0,10.0,0,45185,22050
tts_temp_20,highway,../evidence/asr/corpus/highway/tts_temp_20.wav,5.0,5.0,0,45185,22050
tts_temp_21,clean,../evidence/asr/corpus/clean/tts_temp_21.wav,,,0,47024,22050
tts_temp_21,quiet,../evidence/asr/corpus/quiet/tts_temp_21.wav,20.0,20.0,0,47024,22050
tts_temp_21,cabin,../evidence/asr/corpus/cabin/tts_temp_21.wav,10.0,10.0,0,47024,22050
tts_temp_21,highway,../evidence/asr/corpus/highway/tts_temp_21.wav,5.0,5.0,0,47024,22050
tts_temp_22,clean,../evidence/asr/corpus/clean/tts_temp_22.wav,,,0,48224,22050
tts_temp_22,quiet,../evidence/asr/corpus/quiet/tts_temp_22.wav,20.0,20.0,0,48224,22050
tts_temp_22,cabin,../evidence/asr/corpus/cabin/tts_temp_22.wav,10.0,10.0,0,48224,22050
tts_temp_22,highway,../evidence/asr/corpus/highway/tts_temp_22.wav,5.0,5.0,0,48224,22050
tts_temp_23,clean,../evidence/asr/corpus/clean/tts_temp_23.wav,,,0,47024,22050
tts_temp_23,quiet,../evidence/asr/corpus/quiet/tts_temp_23.wav,20.0,20.0,0,47024,22050
tts_temp_23,cabin,../evidence/asr/corpus/cabin/tts_temp_23.wav,10.0,10.0,0,47024,22050
tts_temp_23,highway,../evidence/asr/corpus/highway/tts_temp_23.wav,5.0,5.0,0,47024,22050
tts_temp_24,clean,../evidence/asr/corpus/clean/tts_temp_24.wav,,,0,48785,22050
tts_temp_24,quiet,../evidence/asr/corpus/quiet/tts_temp_24.wav,20.0,20.0,0,48785,22050
tts_temp_24,cabin,../evidence/asr/corpus/cabin/tts_temp_24.wav,10.0,10.0,0,48785,22050
tts_temp_24,highway,../evidence/asr/corpus/highway/tts_temp_24.wav,5.0,5.0,0,48785,22050
tts_temp_25,clean,../evidence/asr/corpus/clean/tts_temp_25.wav,,,0,46304,22050
tts_temp_25,quiet,../evidence/asr/corpus/quiet/tts_temp_25.wav,20.0,20.0,0,46304,22050
tts_temp_25,cabin,../evidence/asr/corpus/cabin/tts_temp_25.wav,10.0,10.0,0,46304,22050
tts_temp_25,highway,../evidence/asr/corpus/highway/tts_temp_25.wav,5.0,5.0,0,46304,22050
tts_temp_26,clean,../evidence/asr/corpus/clean/tts_temp_26.wav,,,0,49264,22050
tts_temp_26,quiet,../evidence/asr/corpus/quiet/tts_temp_26.wav,20.0,20.0,0,49264,22050
tts_temp_26,cabin,../evidence/asr/corpus/cabin/tts_temp_26.wav,10.0,10.0,0,49264,22050
tts_temp_26,highway,../evidence/asr/corpus/highway/tts_temp_26.wav,5.0,5.0,0,49264,22050
tts_temp_27,clean,../evidence/asr/corpus/clean/tts_temp_27.wav,,,0,47104,22050
tts_temp_27,quiet,../evidence/asr/corpus/quiet/tts_temp_27.wav,20.0,20.0,0,47104,22050
tts_temp_27,cabin,../evidence/asr/corpus/cabin/tts_temp_27.wav,10.0,10.0,0,47104,22050
tts_temp_27,highway,../evidence/asr/corpus/highway/tts_temp_27.wav,5.0,5.0,0,47104,22050
tts_temp_28,clean,../evidence/asr/corpus/clean/tts_temp_28.wav,,,0,48385,22050
tts_temp_28,quiet,../evidence/asr/corpus/quiet/tts_temp_28.wav,20.0,20.0,0,48385,22050
tts_temp_28,cabin,../evidence/asr/corpus/cabin/tts_temp_28.wav,10.0,10.0,0,48385,22050
tts_temp_28,highway,../evidence/asr/corpus/highway/tts_temp_28.wav,5.0,5.0,0,48385,22050
tts_temp_29,clean,../evidence/asr/corpus/clean/tts_temp_29.wav,,,0,48544,22050
tts_temp_29,quiet,../evidence/asr/corpus/quiet/tts_temp_29.wav,20.0,20.0,0,48544,22050
tts_temp_29,cabin,../evidence/asr/corpus/cabin/tts_temp_29.wav,10.0,10.0,0,48544,22050
tts_temp_29,highway,../evidence/asr/corpus/highway/tts_temp_29.wav,5.0,5.0,0,48544,22050
tts_temp_30,clean,../evidence/asr/corpus/clean/tts_temp_30.wav,,,0,45664,22050
tts_temp_30,quiet,../evidence/asr/corpus/quiet/tts_temp_30.wav,20.0,20.0,0,45664,22050
tts_temp_30,cabin,../evidence/asr/corpus/cabin/tts_temp_30.wav,10.0,10.0,0,45664,22050
tts_temp_30,highway,../evidence/asr/corpus/highway/tts_temp_30.wav,5.0,5.0,0,45664,22050
tts_temp_31,clean,../evidence/asr/corpus/clean/tts_temp_31.wav,,,0,47583,22050
tts_temp_31,quiet,../evidence/asr/corpus/quiet/tts_temp_31.wav,20.0,20.0,0,47583,22050
tts_temp_31,cabin,../evidence/asr/corpus/cabin/tts_temp_31.wav,10.0,10.0,0,47583,22050
tts_temp_31,highway,../evidence/asr/corpus/highway/tts_temp_31.wav,5.0,5.0,0,47583,22050
tts_temp_32,clean,../evidence/asr/corpus/clean/tts_temp_32.wav,,,0,48704,22050
tts_temp_32,quiet,../evidence/asr/corpus/quiet/tts_temp_32.wav,20.0,20.0,0,48704,22050
tts_temp_32,cabin,../evidence/asr/corpus/cabin/tts_temp_32.wav,10.0,10.0,0,48704,22050
tts_temp_32,highway,../evidence/asr/corpus/highway/tts_temp_32.wav,5.0,5.0,0,48704,22050
tts_volume_down,clean,../evidence/asr/corpus/clean/tts_volume_down.wav,,,0,25747,22050
tts_volume_down,quiet,../evidence/asr/corpus/quiet/tts_volume_down.wav,20.0,20.0,0,25747,22050
tts_volume_down,cabin,../evidence/asr/corpus/cabin/tts_volume_down.wav,10.0,10.0,0,25747,22050
tts_volume_down,highway,../evidence/asr/corpus/highway/tts_volume_down.wav,5.0,5.0,0,25747,22050
tts_volume_up,clean,../evidence/asr/corpus/clean/tts_volume_up.wav,,,0,25428,22050
tts_volume_up,quiet,../evidence/asr/corpus/quiet/tts_volume_up.wav,20.0,20.0,0,25428,22050
tts_volume_up,cabin,../evidence/asr/corpus/cabin/tts_volume_up.wav,10.0,10.0,0,25428,22050
tts_volume_up,highway,../evidence/asr/corpus/highway/tts_volume_up.wav,5.0,5.0,0,25428,22050
tts_wrong_wake_phrase,clean,../evidence/asr/corpus/clean/tts_wrong_wake_phrase.wav,,,0,78063,22050
tts_wrong_wake_phrase,quiet,../evidence/asr/corpus/quiet/tts_wrong_wake_phrase.wav,20.0,20.0,0,78063,22050
tts_wrong_wake_phrase,cabin,../evidence/asr/corpus/cabin/tts_wrong_wake_phrase.wav,10.0,10.0,0,78063,22050
tts_wrong_wake_phrase,highway,../evidence/asr/corpus/highway/tts_wrong_wake_phrase.wav,5.0,5.0,0,78063,22050
viva_notification_ping,clean,../evidence/asr/corpus/clean/viva_notification_ping.wav,,,0,2880,22050
viva_notification_ping,quiet,../evidence/asr/corpus/quiet/viva_notification_ping.wav,20.0,20.0,0,2880,22050
viva_notification_ping,cabin,../evidence/asr/corpus/cabin/viva_notification_ping.wav,10.0,10.0,0,2880,22050
viva_notification_ping,highway,../evidence/asr/corpus/highway/viva_notification_ping.wav,5.0,5.0,0,2880,22050
