clip,reference,hypothesis,wer,confidence,audio_ms,server_ms,round_trip_ms,rtf
tts_temp_22,Đã đặt nhiệt độ mục tiêu 22 độ C.,đã đặc nhiệt độ mục tiêu hai mươi hai độ c.,0.4444,0.822,3014.0,425,435.9,0.141
tts_temp_23,Đã đặt nhiệt độ mục tiêu 23 độ C.,đã đặc nhiệt độ mục tiêu hai mươi ba độ c.,0.4444,0.8468,2939.0,492,501.4,0.1674
tts_temp_24,Đã đặt nhiệt độ mục tiêu 24 độ C.,đã đặc nhiệt độ mục tiêu hai mươi từ đỗ xê.,0.6667,0.8516,3049.1,454,465.7,0.1489
tts_temp_25,Đã đặt nhiệt độ mục tiêu 25 độ C.,đã đặc nhiệt độ mục tiêu hai mươi lăm đỗ xê.,0.6667,0.8351,2894.0,482,489.6,0.1666
tts_temp_26,Đã đặt nhiệt độ mục tiêu 26 độ C.,đã đặc nhiệt độ mục tiêu hai mươi sáu đổ xê.,0.6667,0.8338,3079.0,839,864.7,0.2725
tts_temp_27,Đã đặt nhiệt độ mục tiêu 27 độ C.,đã đặc nhiệt độ mục tiêu hai mươi bảy độ c.,0.4444,0.8317,2944.0,600,624.1,0.2038
tts_temp_28,Đã đặt nhiệt độ mục tiêu 28 độ C.,đã đặc nhiệt độ mục tiêu hai mươi tám độ c.,0.4444,0.8105,3024.1,564,604.0,0.1865
tts_temp_29,Đã đặt nhiệt độ mục tiêu 29 độ C.,đã đặc nhiệt độ mục tiêu hai mươi chín độ c.,0.4444,0.7867,3034.0,468,477.4,0.1543
tts_temp_30,Đã đặt nhiệt độ mục tiêu 30 độ C.,đã đặc nhiệt độ mục tiêu ba mười lộ c.,0.4444,0.7626,2854.0,465,536.1,0.1629
tts_temp_31,Đã đặt nhiệt độ mục tiêu 31 độ C.,đã đặc nhiệt độ mục tiêu ba mười mốt độ c.,0.4444,0.7968,2973.9,432,482.6,0.1453
tts_temp_32,Đã đặt nhiệt độ mục tiêu 32 độ C.,đã đặc nhiệt độ mục tiêu ba mươi hai độ xê.,0.5556,0.8262,3044.0,414,464.4,0.136
tts_volume_down,Đã giảm âm lượng.,đã giảm âm lượng.,0.0,0.7396,1609.2,425,472.5,0.2641
tts_volume_up,Đã tăng âm lượng.,.,1.0,0.4068,1589.2,328,375.3,0.2064
tts_wrong_wake_phrase,Từ gọi của trợ lý là Viva ơi hoặc Vivi ơi. Bạn thử lại nhé.,thư gọi của trợ lý là vị và gây hoặc vị vị huynh vãn thử lại nhé.,0.5333,0.7887,4878.9,435,489.2,0.0892
