run_position,level,snr_db,clip,reference,hypothesis,wer,confidence,audio_ms,server_ms,rtf,error
21,cabin,10.0,tts_temp_23,Đã đặt nhiệt độ mục tiêu 23 độ C.,đã đặc nhiệt độ mục tiêu hai mươi ba độ xê.,0.5556,0.8063,2939.0,687,0.2338,
22,highway,5.0,tts_temp_25,Đã đặt nhiệt độ mục tiêu 25 độ C.,đã đặc nhiệt độ mục tiêu hai mươi lăm đỗ xê.,0.6667,0.7796,2894.0,677,0.2339,
23,clean,,tts_clarify_temperature_range,Nhiệt độ hỗ trợ từ mười sáu đến ba mươi hai độ C. Bạn muốn đặt bao nhiêu độ?,tử nhiệt độ hỗ trợ từ cm độ xuê bản muốn đặt bao nhiêu độ.,0.4737,0.749,4583.5,684,0.1492,
24,quiet,20.0,tts_temp_18,Đã đặt nhiệt độ mục tiêu 18 độ C.,được nhiệt độ mục tiêu mười tám độ c.,0.4444,0.7819,2834.0,644,0.2272,
25,clean,,tts_temp_17,Đã đặt nhiệt độ mục tiêu 17 độ C.,đặc nhiệt độ mục tiêu mười bảy đỗ xê.,0.6667,0.7969,2759.0,740,0.2682,
26,quiet,20.0,tts_temp_26,Đã đặt nhiệt độ mục tiêu 26 độ C.,đã đặc nhiệt độ mục tiêu hai mươi sáu độ c.,0.4444,0.8251,3079.0,728,0.2364,
27,highway,5.0,tts_temp_21,Đã đặt nhiệt độ mục tiêu 21 độ C.,đặc nhiệt độ mục tiêu hai mươi mốt độ c.,0.5556,0.8335,2939.0,664,0.2259,
28,cabin,10.0,tts_fan_1,Đã đặt quạt mức 1.,đặt quạt bước một.,0.6,0.6483,1659.1,588,0.3544,
29,clean,,tts_temp_20,Đã đặt nhiệt độ mục tiêu 20 độ C.,được nhiệt độ mục tiêu hai mươi độ c.,0.4444,0.762,2824.1,619,0.2192,
30,clean,,tts_temp_26,Đã đặt nhiệt độ mục tiêu 26 độ C.,đã đặc nhiệt độ mục tiêu hai mươi sáu đổ xê.,0.6667,0.8338,3079.0,596,0.1936,
31,cabin,10.0,tts_temp_16,Đã đặt nhiệt độ mục tiêu 16 độ C.,được nhiệt độ mục tiêu mười sáu đỗ xê.,0.6667,0.7787,2894.0,565,0.1952,
32,quiet,20.0,tts_volume_up,Đã tăng âm lượng.,đang căng âm lược.,0.75,0.6102,1589.2,505,0.3178,
33,quiet,20.0,tts_temp_29,Đã đặt nhiệt độ mục tiêu 29 độ C.,đã đặc nhiệt độ mục tiêu hai mươi chín độ xê.,0.5556,0.8406,3034.0,572,0.1885,
34,quiet,20.0,tts_fan_2,Đã đặt quạt mức 2.,đã đặt quạt bước hai.,0.4,0.625,1754.2,470,0.2679,
35,clean,,tts_fan_3,Đã đặt quạt mức 3.,đã đặc quật mười ba.,0.8,0.5615,1754.2,479,0.2731,
36,cabin,10.0,tts_fan_4,Đã đặt quạt mức 4.,đã ra kệnh bắt buồn.,0.8,0.565,1799.1,490,0.2724,
37,quiet,20.0,tts_fan_4,Đã đặt quạt mức 4.,đã đặt quạt bút bún.,0.4,0.6237,1799.1,551,0.3063,
38,quiet,20.0,tts_fan_0,Đã đặt quạt mức 0.,đã đặt quạt mức không.,0.2,0.7076,1784.2,511,0.2864,
39,quiet,20.0,tts_fan_1,Đã đặt quạt mức 1.,đặc thùa phát minh một.,1.0,0.5232,1659.1,544,0.3279,
40,cabin,10.0,tts_fan_3,Đã đặt quạt mức 3.,đã đặt quạt mướp ma.,0.4,0.6728,1754.2,479,0.2731,
41,cabin,10.0,tts_clarify_temperature_range,Nhiệt độ hỗ trợ từ mười sáu đến ba mươi hai độ C. Bạn muốn đặt bao nhiêu độ?,nhiệt độ môi trợ từ mười sáu đến ba mươi hai độ xê bản muốn đặt bao nhiêu độ.,0.1579,0.8323,4583.5,636,0.1388,
42,clean,,tts_command_failed,Mình chưa thực hiện được yêu cầu. Bạn thử lại giúp mình nhé.,hình chưa thực hiện được yêu cầu bạn thử lại giúp mình nhé.,0.0769,0.7699,3983.8,585,0.1468,
43,quiet,20.0,tts_temp_20,Đã đặt nhiệt độ mục tiêu 20 độ C.,đã đặc nhiệt độ mục tiêu hai mươi độ xê.,0.4444,0.8383,2824.1,553,0.1958,
44,cabin,10.0,tts_temp_32,Đã đặt nhiệt độ mục tiêu 32 độ C.,đã đặc nhiệt độ mục tiêu ba mười hai độ xê.,0.5556,0.8059,3044.0,565,0.1856,
45,cabin,10.0,tts_fan_2,Đã đặt quạt mức 2.,đã đặt quạt bước hai.,0.4,0.6884,1754.2,484,0.2759,
46,quiet,20.0,tts_temp_27,Đã đặt nhiệt độ mục tiêu 27 độ C.,đã đặc nhiệt độ mục tiêu hai mươi bảy độc xê.,0.6667,0.8137,2944.0,668,0.2269,
47,quiet,20.0,tts_fan_3,Đã đặt quạt mức 3.,đã đặt quạt mướp ba.,0.4,0.6621,1754.2,584,0.3329,
48,quiet,20.0,tts_temp_16,Đã đặt nhiệt độ mục tiêu 16 độ C.,não đặc nhiệt độ mục tiêu mười sáu độ xê.,0.5556,0.8216,2894.0,599,0.207,
49,clean,,tts_clarify_warmer,Bạn muốn tăng nhiệt độ điều hòa lên bao nhiêu độ?,bạn muốn tăng nhiệt độ điều hòa lên bao nhiêu độ.,0.0,0.8456,2938.9,745,0.2535,
50,clean,,tts_fan_0,Đã đặt quạt mức 0.,đã đặc quạt mức không.,0.4,0.6511,1784.2,545,0.3055,
51,cabin,10.0,tts_temp_17,Đã đặt nhiệt độ mục tiêu 17 độ C.,đặc nhiệt độ mục tiêu mười bảy độ c.,0.4444,0.8092,2759.0,714,0.2588,
52,highway,5.0,tts_temp_28,Đã đặt nhiệt độ mục tiêu 28 độ C.,đặc nhiệt độ mục tiêu hai mươi tám độ xê.,0.6667,0.8122,3024.1,652,0.2156,
53,highway,5.0,tts_driver_door_locked,Đã khóa cửa tài xế.,khóa cửa tài xế.,0.2,0.7554,1964.2,670,0.3411,
54,quiet,20.0,tts_temp_17,Đã đặt nhiệt độ mục tiêu 17 độ C.,đã đặc nhiệt độ mục tiêu mười bảy độ c.,0.3333,0.825,2759.0,744,0.2697,
55,highway,5.0,tts_temp_19,Đã đặt nhiệt độ mục tiêu 19 độ C.,đặc nhiệt độ mục tiêu mười chín lộ c.,0.5556,0.8232,2844.1,610,0.2145,
56,highway,5.0,tts_did_not_hear_try_again,Mình chưa nghe rõ. Bạn thử lại giúp mình nhé.,mình chưa nghe rõ bạn thử lại giúp mình nhé.,0.0,0.8196,3499.0,640,0.1829,
57,clean,,tts_temp_16,Đã đặt nhiệt độ mục tiêu 16 độ C.,mới là dạng nhiệt độ mục tiêu mười sáu độ c.,0.5556,0.5826,2894.0,582,0.2011,
58,cabin,10.0,tts_did_not_hear_try_again,Mình chưa nghe rõ. Bạn thử lại giúp mình nhé.,hôm mình chưa nghe rõ bạn thử lại giúp mình nhé.,0.1,0.7926,3499.0,663,0.1895,
59,quiet,20.0,tts_temp_21,Đã đặt nhiệt độ mục tiêu 21 độ C.,đã đặc nhiệt độ mục tiêu hai mươi mốt độ c.,0.4444,0.8558,2939.0,751,0.2555,
60,cabin,10.0,tts_wrong_wake_phrase,Từ gọi của trợ lý là Viva ơi hoặc Vivi ơi. Bạn thử lại nhé.,thư gọi của trợ lý là vị vang hội hoặc vị vị hơi bạn thử lại nhé.,0.4667,0.7918,4878.9,645,0.1322,
61,quiet,20.0,tts_driver_door_locked,Đã khóa cửa tài xế.,đã khóa cửa tài xế.,0.0,0.7817,1964.2,573,0.2917,
62,quiet,20.0,tts_temp_28,Đã đặt nhiệt độ mục tiêu 28 độ C.,đã đặc nhiệt độ mục tiêu hai mươi tám độ c.,0.4444,0.8431,3024.1,622,0.2057,
63,highway,5.0,tts_temp_31,Đã đặt nhiệt độ mục tiêu 31 độ C.,đã đặc nhiệt độ mục tiêu ba mười mốt độ c.,0.4444,0.7849,2973.9,612,0.2058,
64,clean,,tts_temp_23,Đã đặt nhiệt độ mục tiêu 23 độ C.,đã đặc nhiệt độ mục tiêu hai mươi ba độ c.,0.4444,0.8468,2939.0,618,0.2103,
65,clean,,tts_volume_down,Đã giảm âm lượng.,đã giảm âm lượng.,0.0,0.7331,1609.2,679,0.422,
66,clean,,tts_temp_22,Đã đặt nhiệt độ mục tiêu 22 độ C.,đã đặc nhiệt độ mục tiêu hai mươi hai độ c.,0.4444,0.822,3014.0,641,0.2127,
67,cabin,10.0,tts_temp_21,Đã đặt nhiệt độ mục tiêu 21 độ C.,nho đã đặc nhiệt độ mục tiêu hai mươi mốt độ xê.,0.6667,0.7298,2939.0,594,0.2021,
68,quiet,20.0,tts_temp_19,Đã đặt nhiệt độ mục tiêu 19 độ C.,được nhiệt độ mục tiêu mười chín độ xê.,0.5556,0.7685,2844.1,624,0.2194,
69,clean,,tts_temp_21,Đã đặt nhiệt độ mục tiêu 21 độ C.,đã đặc nhiệt độ mục tiêu hai mươi mốt độ c.,0.4444,0.8449,2939.0,613,0.2086,
70,clean,,tts_fan_5,Đã đặt quạt mức 5.,đã đặc quạt mức năm.,0.4,0.6014,1769.2,577,0.3261,
71,highway,5.0,tts_temp_18,Đã đặt nhiệt độ mục tiêu 18 độ C.,tặc nhiệt độ mục tiêu mười tám độ xê.,0.5556,0.7596,2834.0,705,0.2488,
72,cabin,10.0,tts_temp_26,Đã đặt nhiệt độ mục tiêu 26 độ C.,đã đặc nhiệt độ mục tiêu hai mươi sáu độ c.,0.4444,0.8181,3079.0,629,0.2043,
73,cabin,10.0,tts_temp_19,Đã đặt nhiệt độ mục tiêu 19 độ C.,đã đặc nhiệt độ mục tiêu mười chín lộ c.,0.4444,0.7845,2844.1,623,0.2191,
74,highway,5.0,tts_temp_16,Đã đặt nhiệt độ mục tiêu 16 độ C.,đặc nhiệt độ mục tiêu mười sáu đổ xê.,0.6667,0.8208,2894.0,585,0.2021,
75,highway,5.0,tts_temp_24,Đã đặt nhiệt độ mục tiêu 24 độ C.,đã đặc nhiệt độ mục tiêu hai mươi từ đỗ xê.,0.6667,0.8066,3049.1,658,0.2158,
76,highway,5.0,tts_temp_29,Đã đặt nhiệt độ mục tiêu 29 độ C.,đã đặc nhiệt độ mục tiêu hai mươi chín độ xê.,0.5556,0.8232,3034.0,625,0.206,
77,cabin,10.0,tts_driver_door_unlocked,Đã mở khóa cửa tài xế.,đã mở quá cửa tài xế.,0.1667,0.7289,2144.2,566,0.264,
78,highway,5.0,tts_temp_32,Đã đặt nhiệt độ mục tiêu 32 độ C.,đã đặc nhiệt độ mục tiêu ba mười hai độc xê.,0.6667,0.7987,3044.0,580,0.1905,
79,quiet,20.0,tts_command_failed,Mình chưa thực hiện được yêu cầu. Bạn thử lại giúp mình nhé.,minh chưa thực hiện được yêu cầu bạn thử lại giúp mình nhé.,0.0769,0.8308,3983.8,602,0.1511,
80,highway,5.0,tts_driver_door_unlocked,Đã mở khóa cửa tài xế.,ở quá cửa tài xế.,0.5,0.6986,2144.2,604,0.2817,
81,highway,5.0,tts_temp_26,Đã đặt nhiệt độ mục tiêu 26 độ C.,đã đặt nhật đổ mục tiêu hai mươi sáu độ xê.,0.6667,0.732,3079.0,626,0.2033,
82,highway,5.0,tts_temp_23,Đã đặt nhiệt độ mục tiêu 23 độ C.,đặc nhiệt độ mục tiêu hai mươi ba độ xê.,0.6667,0.8267,2939.0,554,0.1885,
83,clean,,tts_deny_door_while_moving,"Xe đang chạy, mình chưa mở cửa được.",sẽ đang chạy mình chưa mở cửa được.,0.125,0.7616,2769.1,528,0.1907,
84,clean,,tts_temp_32,Đã đặt nhiệt độ mục tiêu 32 độ C.,đã đặc nhiệt độ mục tiêu ba mươi hai độ xê.,0.5556,0.8262,3044.0,550,0.1807,
85,quiet,20.0,tts_clarify_fan_level,"Bạn muốn đặt quạt ở mức mấy, từ không đến năm?",muốn gặp vật ở mức ấy từ không đến năm.,0.3636,0.7459,3248.9,526,0.1619,
86,clean,,tts_temp_24,Đã đặt nhiệt độ mục tiêu 24 độ C.,đã đặc nhiệt độ mục tiêu hai mươi từ đỗ xê.,0.6667,0.8516,3049.1,599,0.1965,
87,quiet,20.0,tts_temp_31,Đã đặt nhiệt độ mục tiêu 31 độ C.,đã đặc nhiệt độ mục tiêu ba mười mốt độ c.,0.4444,0.809,2973.9,573,0.1927,
88,quiet,20.0,tts_clarify_warmer,Bạn muốn tăng nhiệt độ điều hòa lên bao nhiêu độ?,hạ lên bao nhiêu độ.,0.6364,0.6029,2938.9,500,0.1701,
89,cabin,10.0,tts_temp_20,Đã đặt nhiệt độ mục tiêu 20 độ C.,đặc nhiệt độ mục tiêu hai mươi độ xê.,0.5556,0.8106,2824.1,551,0.1951,
90,highway,5.0,tts_clarify_warmer,Bạn muốn tăng nhiệt độ điều hòa lên bao nhiêu độ?,hạ lên bao nhiêu độ.,0.6364,0.6352,2938.9,488,0.166,
91,quiet,20.0,tts_temp_24,Đã đặt nhiệt độ mục tiêu 24 độ C.,đã đặc nhiệt độ mục tiêu hai mươi từ lỗ xê.,0.6667,0.829,3049.1,571,0.1873,
92,quiet,20.0,tts_did_not_hear_try_again,Mình chưa nghe rõ. Bạn thử lại giúp mình nhé.,hôm mình chưa hôm nay rõ bạn thử lại giúp mình nhé.,0.3,0.7424,3499.0,567,0.162,
93,cabin,10.0,tts_driver_door_locked,Đã khóa cửa tài xế.,đã quá cửa tài xế.,0.2,0.7727,1964.2,523,0.2663,
94,clean,,tts_fan_4,Đã đặt quạt mức 4.,đã đặt quạt mức bốn.,0.2,0.6501,1799.1,518,0.2879,
95,highway,5.0,tts_wrong_wake_phrase,Từ gọi của trợ lý là Viva ơi hoặc Vivi ơi. Bạn thử lại nhé.,gọi của trợ lý là vị vàng ơi hoặc vị vị hơi bạn thử lại nhé.,0.4,0.8373,4878.9,599,0.1228,
96,cabin,10.0,tts_did_not_hear_repeat,Mình chưa nghe rõ. Bạn nói lại giúp mình nhé.,ngay rõ bạn nói lại giúp mình nhé.,0.3,0.717,3579.1,615,0.1718,
97,cabin,10.0,tts_media_next,Đã chuyển bài.,truyền bài.,0.6667,0.7166,1529.2,484,0.3165,
98,highway,5.0,tts_clarify_temperature_range,Nhiệt độ hỗ trợ từ mười sáu đến ba mươi hai độ C. Bạn muốn đặt bao nhiêu độ?,nhiệt độ hỗ trợ từ mười sáu đến ba mươi hai độ xê bản muốn đặt bao nhiêu độ.,0.1053,0.8796,4583.5,736,0.1606,
99,quiet,20.0,tts_temp_25,Đã đặt nhiệt độ mục tiêu 25 độ C.,đã đặc nhiệt độ mục tiêu hai mươi lăm đỗ xê.,0.6667,0.8591,2894.0,617,0.2132,
100,quiet,20.0,tts_temp_22,Đã đặt nhiệt độ mục tiêu 22 độ C.,đã đặc nhiệt độ mục tiêu hai mươi hai độ c.,0.4444,0.8329,3014.0,593,0.1967,
101,highway,5.0,tts_media_next,Đã chuyển bài.,truyền bài.,0.6667,0.6475,1529.2,538,0.3518,
102,quiet,20.0,tts_did_not_hear_repeat,Mình chưa nghe rõ. Bạn nói lại giúp mình nhé.,ngay giữa những vấn đề này.,1.0,0.3916,3579.1,551,0.1539,
103,clean,,tts_volume_up,Đã tăng âm lượng.,.,1.0,0.4068,1589.2,463,0.2913,
104,highway,5.0,tts_fan_1,Đã đặt quạt mức 1.,đặc thùa ạt mức một.,0.8,0.5215,1659.1,581,0.3502,
105,quiet,20.0,tts_temp_23,Đã đặt nhiệt độ mục tiêu 23 độ C.,đã đặc nhiệt độ mục tiêu hai mươi ba độ xê.,0.5556,0.8482,2939.0,635,0.2161,
106,clean,,tts_temp_28,Đã đặt nhiệt độ mục tiêu 28 độ C.,đã đặc nhiệt độ mục tiêu hai mươi tám độ c.,0.4444,0.8105,3024.1,622,0.2057,
107,quiet,20.0,tts_temp_30,Đã đặt nhiệt độ mục tiêu 30 độ C.,đã đặc nhiệt độ mục tiêu bạc huệ đỗ xê.,0.5556,0.7029,2854.0,624,0.2186,
108,clean,,tts_fan_1,Đã đặt quạt mức 1.,đã được quạt mức một.,0.4,0.7053,1659.1,512,0.3086,
109,highway,5.0,tts_fan_4,Đã đặt quạt mức 4.,đã ra kệnh bước bổn.,0.8,0.6216,1799.1,604,0.3357,
110,quiet,20.0,tts_deny_door_while_moving,"Xe đang chạy, mình chưa mở cửa được.",xe đang chạy mình chưa mở cửa được.,0.0,0.7855,2769.1,677,0.2445,
111,clean,,tts_temp_18,Đã đặt nhiệt độ mục tiêu 18 độ C.,được nhiệt độ mục tiêu mười tám độ c.,0.4444,0.8209,2834.0,603,0.2128,
112,highway,5.0,tts_temp_17,Đã đặt nhiệt độ mục tiêu 17 độ C.,đặc nhiệt độ mục tiêu mười bảy độ c.,0.4444,0.7729,2759.0,629,0.228,
113,cabin,10.0,tts_temp_28,Đã đặt nhiệt độ mục tiêu 28 độ C.,đã đặc nhiệt độ mục tiêu hai mươi tám độ c.,0.4444,0.844,3024.1,625,0.2067,
114,highway,5.0,tts_temp_20,Đã đặt nhiệt độ mục tiêu 20 độ C.,đã đặc nhiệt độ mục tiêu hai mươi độ xê.,0.4444,0.8046,2824.1,685,0.2426,
115,highway,5.0,tts_fan_5,Đã đặt quạt mức 5.,đã đặt bọn bước năm.,0.6,0.6343,1769.2,627,0.3544,
116,highway,5.0,tts_volume_down,Đã giảm âm lượng.,đã giảm âm lượng.,0.0,0.757,1609.2,674,0.4188,
117,cabin,10.0,tts_temp_22,Đã đặt nhiệt độ mục tiêu 22 độ C.,đã đặc nhiệt độ mục tiêu hai mươi hai độ xê.,0.5556,0.8325,3014.0,673,0.2233,
118,quiet,20.0,tts_driver_door_unlocked,Đã mở khóa cửa tài xế.,đã mở khóa cửa tài xế.,0.0,0.7864,2144.2,593,0.2766,
119,highway,5.0,tts_temp_27,Đã đặt nhiệt độ mục tiêu 27 độ C.,đặc nhiệt độ mục tiêu hai mươi bảy độ c.,0.5556,0.8383,2944.0,623,0.2116,
120,cabin,10.0,tts_temp_31,Đã đặt nhiệt độ mục tiêu 31 độ C.,đã đặc nhiệt độ mục tiêu ba mười mốt độ c.,0.4444,0.7842,2973.9,708,0.2381,
121,highway,5.0,tts_fan_2,Đã đặt quạt mức 2.,đã đặt quạt mưa hai.,0.4,0.6265,1754.2,522,0.2976,
122,highway,5.0,tts_temp_30,Đã đặt nhiệt độ mục tiêu 30 độ C.,đặc nhiệt độ mục tiêu bạc mười độ c.,0.4444,0.6805,2854.0,627,0.2197,
123,clean,,tts_did_not_hear_try_again,Mình chưa nghe rõ. Bạn thử lại giúp mình nhé.,nghe rõ bạn thử lại giúp mình nhé.,0.2,0.7892,3499.0,613,0.1752,
124,highway,5.0,tts_clarify_fan_level,"Bạn muốn đặt quạt ở mức mấy, từ không đến năm?",nguẫn gặp mặt ở mức ấy rồi không đến năm.,0.5455,0.6427,3248.9,664,0.2044,
125,clean,,tts_did_not_hear_repeat,Mình chưa nghe rõ. Bạn nói lại giúp mình nhé.,nghe rõ bạn nói lại giúp mình nhé.,0.2,0.779,3579.1,626,0.1749,
126,clean,,tts_temp_19,Đã đặt nhiệt độ mục tiêu 19 độ C.,được nhiệt độ mục tiêu mười chín đỗ c.,0.5556,0.7418,2844.1,632,0.2222,
127,quiet,20.0,tts_temp_32,Đã đặt nhiệt độ mục tiêu 32 độ C.,đã đặc nhiệt độ mục tiêu ba mười hai độc xê.,0.6667,0.7904,3044.0,624,0.205,
128,cabin,10.0,tts_deny_door_while_moving,"Xe đang chạy, mình chưa mở cửa được.",xe đang chạy mình chưa mở cửa được.,0.0,0.7726,2769.1,610,0.2203,
129,clean,,tts_temp_30,Đã đặt nhiệt độ mục tiêu 30 độ C.,đã đặc nhiệt độ mục tiêu ba mười lộ c.,0.4444,0.7626,2854.0,596,0.2088,
130,clean,,tts_temp_25,Đã đặt nhiệt độ mục tiêu 25 độ C.,đã đặc nhiệt độ mục tiêu hai mươi lăm đỗ xê.,0.6667,0.8351,2894.0,617,0.2132,
131,cabin,10.0,tts_fan_5,Đã đặt quạt mức 5.,đã đặt quạt bước năm.,0.4,0.6525,1769.2,541,0.3058,
132,clean,,tts_temp_27,Đã đặt nhiệt độ mục tiêu 27 độ C.,đã đặc nhiệt độ mục tiêu hai mươi bảy độ c.,0.4444,0.8317,2944.0,650,0.2208,
133,cabin,10.0,tts_temp_24,Đã đặt nhiệt độ mục tiêu 24 độ C.,đã đặc nhiệt độ mục tiêu hai mươi từ lỗ xê.,0.6667,0.835,3049.1,700,0.2296,
134,cabin,10.0,tts_temp_30,Đã đặt nhiệt độ mục tiêu 30 độ C.,được nhiệt độ mục tiêu bạc mười lộ xê.,0.6667,0.7852,2854.0,571,0.2001,
135,clean,,tts_driver_door_locked,Đã khóa cửa tài xế.,khóa cửa tài xế.,0.2,0.7853,1964.2,492,0.2505,
136,cabin,10.0,tts_clarify_fan_level,"Bạn muốn đặt quạt ở mức mấy, từ không đến năm?",nhún ngặt mặt ở mức ấy từ không đến năm.,0.4545,0.6656,3248.9,587,0.1807,
137,clean,,tts_temp_31,Đã đặt nhiệt độ mục tiêu 31 độ C.,đã đặc nhiệt độ mục tiêu ba mười mốt độ c.,0.4444,0.7968,2973.9,554,0.1863,
138,cabin,10.0,tts_temp_29,Đã đặt nhiệt độ mục tiêu 29 độ C.,đặc nhiệt độ mục tiêu hai mươi chín độ xê.,0.6667,0.8228,3034.0,563,0.1856,
139,quiet,20.0,tts_clarify_temperature_range,Nhiệt độ hỗ trợ từ mười sáu đến ba mươi hai độ C. Bạn muốn đặt bao nhiêu độ?,nhiệt độ hỗ trợ từ mười sáu đến ba mươi hai độ xuê bạn muốn đặt bao nhiêu độ.,0.0526,0.8893,4583.5,716,0.1562,
140,clean,,tts_fan_2,Đã đặt quạt mức 2.,đã đặc quạt mức hai.,0.4,0.5809,1754.2,576,0.3284,
141,highway,5.0,tts_did_not_hear_repeat,Mình chưa nghe rõ. Bạn nói lại giúp mình nhé.,bình chương nghe rõ bạn nói lại giúp mình nhé.,0.2,0.7133,3579.1,540,0.1509,
142,clean,,tts_wrong_wake_phrase,Từ gọi của trợ lý là Viva ơi hoặc Vivi ơi. Bạn thử lại nhé.,thư gọi của trợ lý là vị và gây hoặc vị vị huynh vãn thử lại nhé.,0.5333,0.7887,4878.9,608,0.1246,
143,cabin,10.0,tts_temp_18,Đã đặt nhiệt độ mục tiêu 18 độ C.,được nhiệt độ mục tiêu mười tám lộ c.,0.5556,0.778,2834.0,553,0.1951,
144,cabin,10.0,tts_temp_27,Đã đặt nhiệt độ mục tiêu 27 độ C.,đã đặc nhiệt độ mục tiêu hai mươi bảy độ c.,0.4444,0.7906,2944.0,600,0.2038,
